id,name,title,price,category,stock,description,image_url
tm-demo-001,Souris Sans Fil 4D Rose,Souris Sans Fil 4D Rose,6.9,Informatique,25,"Souris sans fil 2,4 GHz compacte et confortable, avec interface USB et résolution 800/1600 ppp.",https://placehold.co/800x800/png?text=Souris+Sans+Fil
tm-demo-002,Micro Casque Gaming Baracuda BGH-031 Noir,Micro Casque Gaming Baracuda BGH-031 Noir,55.0,Gaming,12,"Micro-casque gaming filaire avec connexion jack 3,5 mm et USB, conçu pour le jeu et le multimédia.",https://placehold.co/800x800/png?text=Gaming+Headset
tm-demo-003,Micro Casque Gaming Baracuda BGH-031 Blanc,Micro Casque Gaming Baracuda BGH-031 Blanc,55.0,Gaming,10,"Micro-casque gaming filaire au design blanc, adapté au jeu, aux appels et au multimédia.",https://placehold.co/800x800/png?text=Gaming+Headset+White
tm-demo-004,Pack 3 en 1 Capybara XYX-03,Pack 3 en 1 Capybara XYX-03,49.0,Téléphonie,8,"Pack pratique comprenant casque Bluetooth, power bank et ventilateur portable.",https://placehold.co/800x800/png?text=3+en+1+Pack
tm-demo-005,Chargeur Voiture USB 20W + Câble USB-C vers Lightning,Chargeur Voiture USB 20W + Câble USB-C vers Lightning,29.0,Téléphonie,15,"Chargeur voiture USB 20W avec câble USB-C vers Lightning, pratique pour la recharge en déplacement.",https://placehold.co/800x800/png?text=Chargeur+Voiture
tm-demo-006,Adaptateur Secteur Samsung 45W avec câble Type-C,Adaptateur Secteur Samsung 45W avec câble Type-C,89.0,Téléphonie,9,Adaptateur secteur USB Type-C 45W avec charge rapide et câble Type-C.,https://placehold.co/800x800/png?text=Chargeur+45W
tm-demo-007,Chargeur Ksix Type-C + Type-A 30W Blanc,Chargeur Ksix Type-C + Type-A 30W Blanc,55.0,Téléphonie,14,"Chargeur double port USB-C et USB-A avec puissance jusqu’à 30W, adapté aux smartphones et appareils USB.",https://placehold.co/800x800/png?text=Chargeur+Ksix
tm-demo-008,Adaptateur Chargeur XO L164 120W Blanc,Adaptateur Chargeur XO L164 120W Blanc,55.0,Téléphonie,7,Adaptateur secteur haute puissance pour les besoins de recharge compatibles.,https://placehold.co/800x800/png?text=XO+120W
tm-demo-009,Clavier Gamer Baracuda Dolphin Blue Switch Blanc,Clavier Gamer Baracuda Dolphin Blue Switch Blanc,55.0,Gaming,11,"Clavier mécanique gamer filaire USB 2.0, 61 touches et switches Blue, avec rétroéclairage.",https://placehold.co/800x800/png?text=Gaming+Keyboard
tm-demo-010,Clavier Gamer Baracuda Dolphin Red Switch Blanc,Clavier Gamer Baracuda Dolphin Red Switch Blanc,55.0,Gaming,11,"Clavier mécanique gamer filaire USB 2.0, 61 touches et switches Red, avec rétroéclairage.",https://placehold.co/800x800/png?text=Gaming+Keyboard+Red
tm-demo-011,Manette de Jeux Playstation PS4 Sans Fil Noir,Manette de Jeux Playstation PS4 Sans Fil Noir,55.0,Gaming,10,Manette de jeu sans fil compatible PlayStation 4 pour une expérience gaming confortable.,https://placehold.co/800x800/png?text=PS4+Controller
tm-demo-012,Sac à dos Lenovo Casual B210 15.6 pouces Bleu,Sac à dos Lenovo Casual B210 15.6 pouces Bleu,55.0,Informatique,9,"Sac à dos Lenovo pour ordinateur portable jusqu’à 15,6 pouces, pratique pour les déplacements.",https://placehold.co/800x800/png?text=Lenovo+Backpack
tm-demo-013,Souris Sans Fil HP Z3700 Bleu,Souris Sans Fil HP Z3700 Bleu,55.0,Informatique,13,Souris sans fil HP compacte et pratique pour ordinateur portable et bureau.,https://placehold.co/800x800/png?text=HP+Z3700
tm-demo-014,Hub USB Havit Multi-interface H95 6 Ports Noir,Hub USB Havit Multi-interface H95 6 Ports Noir,55.0,Informatique,8,"Hub USB 6 ports avec USB 3.0, USB 2.0 et lecteur de cartes SD/MicroSD.",https://placehold.co/800x800/png?text=USB+Hub
tm-demo-015,Micro Casque Gaming Havit H2230D Noir,Micro Casque Gaming Havit H2230D Noir,55.0,Gaming,10,"Micro-casque gaming filaire conçu pour les jeux, appels et usages multimédia.",https://placehold.co/800x800/png?text=Havit+Headset
tm-demo-016,Casque Filaire Philips Rose,Casque Filaire Philips Rose,55.0,Audio,10,"Casque filaire Philips compact, pratique pour l’écoute quotidienne.",https://placehold.co/800x800/png?text=Philips+Headphones
tm-demo-017,Casque Bluetooth pour Enfants KT-56 Noir,Casque Bluetooth pour Enfants KT-56 Noir,55.0,Audio,8,Casque Bluetooth pliable pour enfants avec autonomie annoncée jusqu’à 10 heures.,https://placehold.co/800x800/png?text=Kids+Headphones
tm-demo-018,Casque Bluetooth pour Enfants KT-56 Bleu Ciel,Casque Bluetooth pour Enfants KT-56 Bleu Ciel,55.0,Audio,8,"Casque Bluetooth pliable pour enfants, avec lecteur microSD et design compact.",https://placehold.co/800x800/png?text=Kids+Headphones+Blue
tm-demo-019,Écouteurs Bluetooth Itel T1 NEO Blanc,Écouteurs Bluetooth Itel T1 NEO Blanc,55.0,Audio,12,Écouteurs Bluetooth compacts pour une utilisation quotidienne.,https://placehold.co/800x800/png?text=Bluetooth+Earbuds
tm-demo-020,Smartphone Infinix Hot 70 4G 12Go/128Go Bleu,Smartphone Infinix Hot 70 4G 12Go/128Go Bleu,689.0,Smartphones,5,"Smartphone 4G Infinix avec configuration 12Go/128Go, proposé ici comme produit de démonstration.",https://placehold.co/800x800/png?text=Infinix+Hot+70
